course_id,tuition_fee,waitlist,retention_rate,feedback_score,faculty_rating,capacity,enrollment
162,89376,40,0.53,4.8,2.2,91,167
144,75562,10,0.52,2.7,2.2,100,127
190,47862,33,0.67,1.1,3.1,101,145
149,42159,47,0.84,5.0,4.6,59,185
107,35966,49,0.81,3.5,2.6,63,160
172,46138,26,0.92,3.0,4.3,52,139
146,91702,1,0.71,2.9,2.8,66,108
174,25222,3,0.79,3.1,2.8,89,127
123,85694,19,0.52,1.4,3.5,67,114
102,49039,50,0.78,1.8,4.5,89,172
183,73356,5,0.57,1.8,2.6,72,95
102,91924,4,0.55,3.6,4.9,104,150
133,69418,23,0.84,2.2,4.6,34,119
174,59342,3,0.65,3.8,3.4,84,132
183,45834,14,0.78,2.7,2.1,101,133
195,44331,50,0.78,4.4,2.3,45,155
177,59077,30,0.68,1.5,4.2,83,145
133,53536,18,0.75,3.9,3.8,77,151
124,21179,2,0.81,4.5,2.0,59,117
167,64071,6,0.71,2.8,4.8,69,127
164,82085,38,0.87,3.7,3.4,92,175
186,20892,42,0.54,3.1,2.7,99,165
134,69341,22,0.72,4.2,2.1,91,149
121,51433,2,0.62,2.6,4.4,48,104
163,78046,32,0.84,2.2,4.8,64,144
174,48984,20,0.92,2.3,2.1,85,127
134,55031,26,0.65,1.3,3.6,39,104
146,72772,21,0.85,2.5,4.8,73,144
141,48860,44,0.7,3.2,4.7,98,183
187,96422,11,0.86,1.2,4.4,112,139
157,95923,20,0.5,1.3,3.7,39,94
108,67325,18,0.92,2.1,4.9,106,163
112,42108,25,0.75,4.6,3.3,76,159
198,76326,48,0.81,1.1,3.5,104,162
161,55834,42,0.65,2.8,3.6,46,139
200,45295,1,0.94,1.6,2.7,33,78
115,72886,0,0.61,1.5,2.8,57,81
109,90849,38,0.56,4.0,4.8,83,174
115,28780,19,0.68,3.5,3.3,88,145
109,27783,35,0.59,2.6,4.5,73,154
163,44734,13,0.7,2.7,3.0,89,130
154,52062,49,0.7,2.5,4.6,103,185
121,89055,31,0.53,1.8,3.7,96,148
122,65133,41,0.54,2.4,2.0,82,142
110,90026,31,0.6,1.6,3.7,118,161
192,80965,32,0.88,4.0,3.6,48,144
109,78022,26,0.92,4.2,3.5,82,162
109,32622,46,0.53,3.3,3.7,120,189
155,97304,42,0.85,3.9,2.0,116,186
148,69959,4,0.82,4.5,3.5,87,144
125,66034,0,0.68,2.6,4.6,96,134
123,99251,7,0.73,4.3,3.0,77,137
124,38759,27,0.64,4.3,3.3,43,134
179,65068,0,0.69,3.8,3.1,68,115
107,31571,4,0.65,3.5,2.3,75,116
117,74214,21,0.73,2.2,3.2,57,118
135,74338,33,0.58,2.1,3.8,37,116
122,99449,23,0.91,1.9,4.9,97,160
200,64476,38,0.92,4.1,2.6,101,175
107,53654,1,0.53,3.7,3.4,118,146
164,80273,21,0.64,1.5,4.6,67,123
179,87951,31,0.8,1.4,2.5,95,135
113,39467,1,0.55,4.4,3.7,96,140
170,72029,12,0.57,2.4,4.8,86,138
177,61240,0,0.59,3.0,3.9,35,97
171,28053,6,0.52,4.7,2.0,53,109
115,89603,39,0.86,3.0,2.1,116,174
133,64467,16,0.55,3.4,3.4,30,103
117,38316,12,0.52,1.7,3.3,110,131
192,32389,13,0.93,3.3,3.8,57,128
187,84336,47,0.55,1.0,4.2,68,139
110,22945,45,0.8,3.6,4.6,71,179
159,41713,29,0.67,4.3,3.8,54,149
189,38226,31,0.89,4.6,3.0,100,176
158,53333,8,0.8,4.4,4.5,40,128
120,59367,38,0.62,2.0,3.9,66,141
145,52011,12,0.61,3.9,2.1,59,117
116,45339,48,0.83,1.3,2.7,76,142
132,33445,39,0.61,1.4,3.2,46,116
170,84907,29,0.95,2.4,2.2,62,123
116,72170,26,0.62,1.2,3.3,113,143
113,88807,46,0.55,4.1,4.3,32,149
162,78491,6,0.76,2.9,3.0,64,113
128,27969,26,0.7,1.1,4.7,33,106
141,42174,34,0.61,3.3,3.8,87,162
119,59888,25,0.55,2.7,2.4,78,129
197,22497,16,0.71,1.2,3.3,63,105
150,50683,41,0.67,2.3,2.4,74,140
150,43581,23,0.85,4.9,5.0,108,192
193,39600,31,0.79,3.6,3.0,49,138
150,40007,47,0.84,2.4,4.9,74,170
147,84336,28,0.78,1.5,2.4,105,140
129,25116,12,0.52,4.9,4.5,59,140
187,52677,6,0.59,1.3,3.9,81,113
190,59029,28,0.59,3.5,2.0,47,122
193,73387,29,0.76,3.9,3.6,101,172
149,38744,37,0.79,1.7,4.6,49,136
149,39922,23,0.86,4.2,4.6,63,155
147,50209,20,0.59,4.1,3.6,78,147
144,63448,12,0.68,4.2,3.1,50,124
198,84686,26,0.89,4.6,3.0,72,160
196,30400,36,0.85,4.3,2.1,90,164
104,77317,34,0.78,1.6,4.1,46,125
135,51654,28,0.63,4.6,4.0,41,144
121,61553,27,0.82,4.4,4.4,107,189
161,45550,9,0.73,2.3,5.0,79,135
188,75362,37,0.53,1.2,4.6,117,165
119,59277,24,0.65,4.6,3.4,58,143
164,85320,30,0.53,2.8,2.5,96,146
193,63707,2,0.64,3.7,3.9,83,133
118,91914,49,0.68,3.3,2.8,69,158
117,43881,28,0.9,5.0,4.2,83,180
185,63453,5,0.76,1.2,4.2,46,90
195,96429,30,0.6,2.5,2.7,92,146
165,78052,40,0.52,1.2,2.7,91,137
176,71152,48,0.79,2.5,4.2,65,159
158,78307,23,0.92,1.3,4.4,64,130
199,87653,40,0.58,3.6,2.2,113,171
153,86589,50,0.54,1.2,4.5,92,166
190,59350,9,0.8,1.3,4.1,67,111
167,84658,28,0.83,2.4,3.9,118,169
117,74578,35,0.56,1.9,2.2,118,156
105,63224,7,0.89,1.3,4.7,62,113
131,67535,28,0.89,2.5,2.5,74,135
175,80988,29,0.67,1.6,2.5,90,133
148,26466,12,0.62,1.1,2.3,62,90
168,59633,21,0.56,3.3,2.7,107,151
108,69884,2,0.63,2.9,2.3,111,127
182,65463,27,0.93,3.8,3.2,114,177
165,67231,48,0.54,3.1,4.0,119,191
166,43103,11,0.59,2.8,4.9,77,138
143,82217,43,0.56,4.0,2.4,114,180
114,78259,19,0.67,4.6,4.5,103,175
114,77730,46,0.58,5.0,4.9,99,207
135,20583,8,0.78,1.1,4.4,114,141
159,97379,40,0.8,4.0,2.3,109,179
125,59888,42,0.77,4.6,4.5,89,193
113,44216,42,0.64,2.7,2.6,110,167
142,52893,37,0.94,1.3,2.4,119,157
120,27044,47,0.92,2.6,3.8,115,190
127,29361,44,0.93,3.7,2.4,59,157
183,45579,33,0.77,4.4,3.4,68,160
128,44854,8,0.62,1.2,4.4,113,138
119,98755,31,0.84,3.3,2.2,112,164
182,61241,9,0.69,4.6,3.5,94,151
163,96774,5,0.91,2.5,4.0,31,98
125,61662,28,0.64,3.2,3.7,81,152
197,37555,23,0.7,1.7,4.0,56,122
116,22776,4,0.75,4.0,4.0,48,119
160,31766,31,0.63,4.2,3.5,32,133
190,76977,30,0.81,2.9,3.7,96,164
107,67077,32,0.94,1.7,2.2,37,104
192,96918,21,0.61,2.9,3.4,81,138
180,96138,48,0.64,1.1,2.1,49,121
144,67056,41,0.76,2.0,3.9,43,134
160,36363,11,0.59,3.5,2.1,33,93
195,51550,11,0.9,4.7,4.7,61,147
112,79303,42,0.86,1.5,2.7,63,133
177,70282,43,0.65,3.1,2.1,64,140
132,26673,5,0.87,1.1,2.5,44,77
119,61495,31,0.65,1.3,4.9,42,120
177,61378,5,0.75,4.0,4.5,64,136
113,25000,35,0.64,2.5,2.4,74,135
167,83443,39,0.69,4.5,4.3,110,201
106,28070,33,0.69,1.6,3.5,111,158
130,55157,48,0.6,1.5,3.0,107,164
139,76456,19,0.86,1.2,4.1,115,147
148,57120,48,0.51,3.9,3.1,114,188
151,49419,26,0.78,3.1,3.2,87,149
119,32481,5,0.58,1.3,2.4,45,76
146,95323,4,0.51,2.9,3.2,94,125
131,24100,47,0.92,1.9,2.8,74,149
117,63839,6,0.69,1.9,4.5,41,98
125,52968,8,0.88,1.9,4.0,110,140
143,21283,19,0.56,3.1,2.2,51,112
150,36202,14,0.67,3.4,3.4,45,116
123,79994,13,0.84,3.6,3.5,83,145
128,98733,41,0.89,1.7,2.8,84,149
110,47235,37,0.56,1.0,2.4,85,125
182,75958,16,0.64,3.6,5.0,55,135
173,60241,3,0.88,4.1,4.6,81,145
173,86446,31,0.77,4.1,4.1,38,145
167,98246,50,0.54,2.3,3.6,82,159
192,74133,0,0.58,4.5,3.3,66,123
189,59240,25,0.72,1.2,4.9,42,113
109,60779,10,0.71,2.1,3.5,79,119
200,31492,42,0.81,1.6,3.8,95,161
101,74483,7,0.59,3.3,3.9,90,137
158,73977,16,0.53,2.8,3.4,100,142
119,46173,26,0.62,4.5,4.5,115,185
138,63014,20,0.69,2.5,4.5,94,152
181,64244,46,0.63,3.0,4.3,107,184
138,79789,36,0.79,1.4,2.5,71,130
194,74331,15,0.51,3.5,2.6,82,130
177,76123,5,0.63,4.2,4.2,92,151
126,93563,34,0.51,4.8,4.1,114,194
199,87019,13,0.7,2.8,3.4,100,142
194,63793,46,0.5,3.3,2.1,111,171
152,67371,37,0.54,4.5,2.2,104,169
102,34150,37,0.9,3.4,4.4,109,189
125,53185,37,0.65,2.7,2.9,100,161
147,86530,0,0.7,2.2,3.9,113,134
186,97566,18,0.57,2.6,2.1,106,138
149,68050,22,0.62,1.2,4.3,94,137
117,94360,8,0.54,3.0,4.6,108,152
172,75923,50,0.69,3.7,2.2,109,180
198,35918,5,0.9,2.6,2.4,62,108
107,57794,28,0.68,1.2,2.5,78,118
136,78855,47,0.67,4.9,2.7,115,197
